time (s)	magX	magY	magZ
8010.160943	-279.485687	-112.273529	541.963745
8010.164283	-276.855621	-114.611343	548.334290
8010.168504	-269.374634	-120.046761	561.250732
8010.171865	-266.393921	-122.618355	565.809509
8010.175212	-263.004089	-125.131500	571.127991
8010.178154	-259.205139	-127.410873	577.790771
8010.181371	-255.055527	-130.333130	583.284607
8010.184735	-251.724152	-132.554062	588.895386
8010.188043	-247.457626	-135.300995	593.980103
8010.191373	-243.074219	-137.580353	599.298645
8010.194277	-238.398605	-140.268845	604.792480
8010.197625	-233.489182	-143.074219	610.227905
8010.200948	-228.579788	-145.470490	614.436035
8010.204278	-224.196381	-147.574524	620.338989
8010.207615	-218.585632	-150.263000	623.085937
8010.210943	-213.033325	-152.834595	628.053772
8010.214280	-207.130341	-155.464630	635.008789
8010.217615	-201.519592	-157.977798	638.047913
8010.220943	-195.616608	-160.257156	642.372925
8010.224276	-189.830505	-162.010513	645.879578
8010.227635	-182.875519	-164.465225	648.918762
8010.230982	-176.154297	-167.387497	653.477478
8010.234272	-169.491531	-168.614838	657.159546
8010.237607	-163.004089	-171.011108	660.023376
8010.240961	-155.990646	-172.355347	662.361206
8010.244279	-148.100525	-174.693161	666.803040
8010.247605	-140.911743	-176.388077	669.608398
8010.250944	-133.196960	-178.492111	671.011108
8010.254281	-126.183525	-180.187027	673.056702
8010.257606	-118.059608	-181.998840	674.634705
8010.260944	-110.753944	-183.693741	677.557007
8010.264276	-102.337814	-185.213333	678.141479
8010.268481	-87.492691	-188.018707	677.966125
8010.271839	-80.479256	-189.129166	678.842773
8010.275223	-72.238457	-190.414963	679.310303
8010.278525	-64.465225	-190.940979	679.485718
8010.281784	-57.218002	-192.226761	677.966125
8010.284726	-49.327877	-193.395676	676.621887
8010.288021	-41.788429	-194.681473	676.388062
8010.291353	-34.599651	-195.265930	674.810059
8010.294274	-26.884863	-195.791931	673.173584
8010.297606	-19.929865	-196.727066	671.712463
8010.300934	-12.624197	-197.428406	667.913513
8010.304272	-5.610754	-198.129745	667.562805
8010.307604	2.513150	-198.597305	664.289917
8010.310930	9.526592	-199.649323	662.770325
8010.314266	16.189363	-199.766220	659.088257
8010.317601	22.559906	-200.584457	655.406189
8010.320927	29.339567	-201.578018	652.483948
8010.324265	36.002338	-200.935120	648.509644
8010.327622	42.606663	-201.928680	644.885986
8010.330928	48.626534	-202.045578	641.028625
8010.334268	54.938633	-202.630035	635.651672
8010.337600	61.367619	-201.987152	631.092957
8010.340946	67.679718	-202.045578	626.651123
8010.344262	73.758034	-202.220917	622.852112
8010.347593	80.011688	-201.928680	617.475159
8010.350935	85.037987	-201.636475	612.448853
8010.354268	91.057861	-200.935120	606.487427
8010.357590	97.194626	-200.642899	602.104065
8010.360928	102.513145	-200.233795	594.681458
8010.364263	109.000587	-199.824661	589.830505
8010.368507	119.520744	-198.012848	578.141479
8010.371884	124.839272	-197.311508	572.530701
8010.375229	129.514908	-196.259491	564.757446
8010.378453	135.067215	-195.149048	559.380493
8010.381775	139.742844	-193.921692	554.412598
8010.384733	144.886032	-192.928116	546.288757
8010.388019	148.860306	-191.408539	540.385742
8010.391356	153.769714	-190.414963	534.307434
8010.394686	157.977798	-189.012283	527.177124
8010.397589	161.484512	-187.668030	521.332520
8010.400927	165.283463	-186.440689	513.968445
8010.404255	168.731735	-184.862656	508.123932
8010.407595	172.121567	-183.459961	500.701324
8010.410938	175.277618	-182.700180	494.272369
8010.414261	178.316772	-181.648163	487.726501
8010.417584	181.589706	-179.953247	480.829895
8010.420920	184.336655	-178.082993	473.874939
8010.424252	186.206894	-176.621857	467.445953
8010.427623	189.362946	-174.868500	461.192261
8010.430927	190.824081	-173.524261	455.113983
8010.434255	193.571014	-172.296906	448.334320
8010.437594	195.382828	-171.537109	442.139099
8010.440919	197.253067	-170.543533	436.119232
8010.444255	198.480408	-191.992981	-1856.166016
8010.447585	185.797775	-200.642899	-1711.922852
8010.450924	188.778503	-196.201050	-1546.288696
8010.454251	191.174759	-192.635880	-1398.538818
8010.457586	192.752777	-189.070709	-1177.323242
8010.460915	202.454712	-162.711853	399.064880
8010.464250	205.610748	-160.724716	393.337219
8010.468907	207.130341	-158.503799	381.823486
8010.471814	208.065460	-157.451782	376.738739
8010.475099	208.825256	-156.224426	370.952667
8010.478450	209.877274	-154.938644	365.225006
8010.481787	209.409714	-153.243713	359.029816
8010.484692	209.935715	-151.724136	354.529510
8010.488024	211.221497	-150.146118	349.152527
8010.491405	210.403275	-148.451202	342.080658
8010.494720	211.221497	-147.574524	338.515503
8010.497585	211.513733	-146.230286	333.313843
8010.500917	211.747528	-144.418472	327.644653
8010.504246	212.156631	-143.191116	322.676788
8010.507578	212.215088	-141.729980	318.585632
8010.510916	211.747528	-140.268845	313.383972
8010.514285	211.864395	-138.807709	308.591461
8010.517578	211.689072	-137.463470	303.565155
8010.520919	211.396835	-135.242538	298.714203
8010.524247	210.987732	-134.658096	295.032135
8010.527585	211.221497	-132.495621	289.772064
8010.530911	211.455292	-131.502045	285.973114
8010.534248	210.695511	-129.690247	281.881958
8010.537579	210.052612	-128.112213	277.673859
8010.540906	209.994156	-127.293983	274.225586
8010.544245	209.292816	-125.657509	270.660431
8010.547589	209.585052	-124.722382	265.867920
8010.550911	209.234360	-123.261246	262.536530
8010.554243	207.948563	-121.390999	258.270020
8010.557619	206.896545	-120.689651	255.172424
8010.560909	206.604309	-118.118057	252.191711
8010.564268	205.669189	-117.124489	248.684982
8010.567577	205.260086	-116.540039	245.412033
8010.572192	204.032730	-114.026878	239.742859
8010.575115	203.389832	-113.734665	235.067200
8010.578457	203.097610	-112.098190	233.021622
8010.581863	202.104050	-111.572182	230.625366
8010.584682	201.636475	-110.695503	227.703094
8010.587998	200.116898	-109.701935	224.605484
8010.591327	199.649323	-109.292816	221.040314
8010.594661	199.181763	-108.649910	218.936295
8010.597997	198.480408	-107.481003	216.130920
8010.600908	197.603745	-106.545876	214.260681
8010.604237	196.376389	-105.493866	211.338394
8010.607573	195.441254	-105.143188	209.117477
8010.610902	194.623032	-104.558739	207.130341
8010.614236	194.213913	-103.974281	204.500290
8010.617569	193.454117	-103.097603	201.870255
8010.620918	192.051437	-101.928696	199.824661
8010.624236	191.408539	-101.402687	197.194626
8010.627572	191.583878	-100.584457	195.207474
8010.630904	190.824081	-100.292229	193.395676
8010.634243	189.947403	-98.947983	190.940979
8010.637567	188.486267	-98.772644	189.713623
8010.640901	188.310928	-97.486847	188.077148
8010.644238	187.843369	-97.077736	186.499115
8010.647564	187.551147	-96.025719	184.453537
8010.650902	187.258911	-95.090591	182.583282
8010.654236	186.557571	-94.330803	180.946808
8010.657561	185.680893	-93.454124	178.492111
8010.660900	185.096436	-92.752777	177.089417
8010.664260	184.687317	-91.876099	176.329636
8010.667557	183.810638	-90.765633	174.693161
8010.670893	183.284622	-90.824081	172.413788
8010.675121	182.174164	-89.246056	170.017532
8010.678508	182.057266	-88.194038	169.491531
8010.681811	181.063705	-88.486267	167.855057
8010.685140	181.297485	-87.726471	166.919937
8010.688000	180.596130	-87.200470	166.861481
8010.691319	179.894791	-86.849800	165.049683
8010.694649	179.661011	-85.856224	163.705429
8010.697993	179.777908	-85.739334	162.711853
8010.700894	178.959671	-84.979546	162.653427
8010.704230	178.492111	-84.570427	161.484512
8010.707560	178.024536	-84.570427	161.542953
8010.710894	177.498550	-84.161308	160.140259
8010.714223	176.972534	-83.752190	160.023376
8010.717557	176.563416	-83.635300	158.912918
8010.720915	176.504974	-83.810638	157.627121
8010.724228	176.037415	-83.635300	157.159561
8010.727559	176.271194	-83.459969	157.276459
8010.730897	176.095856	-83.459969	156.458206
8010.734225	175.686722	-82.933960	155.932205
8010.737559	174.751602	-82.933960	155.406204
8010.740886	174.868500	-82.524841	154.880188
8010.744223	175.277618	-81.881943	154.704865
8010.747553	174.751602	-81.472816	155.581528
8010.750932	174.926941	-81.998833	154.178848
8010.754222	174.284042	-81.531265	153.652832
8010.757559	173.290482	-81.355927	153.360611
8010.760889	173.816483	-81.297485	153.185272
8010.764244	174.108704	-80.771477	152.191696
8010.767550	173.816483	-81.122147	153.009933
8010.770885	173.582703	-81.063705	153.419052
8010.775139	173.582703	-80.888367	152.542374
8010.778470	173.874924	-80.245468	151.841034
8010.781809	174.050262	-80.713036	151.782578
8010.785069	173.816483	-80.245468	151.957916
8010.788414	174.167160	-79.777908	153.126831
8010.791311	174.517822	-79.368790	152.367035
8010.794645	174.634720	-79.427238	152.776154
8010.797968	175.160736	-79.485680	153.243713
8010.801330	174.751602	-79.894798	153.711288
8010.804215	175.219162	-79.544128	153.477509
8010.807546	175.336060	-79.310349	153.419052
8010.810931	175.920517	-79.661018	154.295731
8010.814219	176.271194	-79.368790	154.471069
8010.817551	176.680298	-78.667442	154.704865
8010.820881	176.095856	-79.310349	155.698425
8010.824214	177.206314	-79.894798	156.399765
8010.827544	177.323196	-79.836349	157.393341
8010.830886	177.440094	-79.777908	158.620697
8010.834216	178.141434	-80.187019	158.971359
8010.837577	178.141434	-80.187019	159.789597
8010.840879	179.251892	-80.420807	160.023376
8010.844212	179.427231	-80.771477	161.659851
8010.847542	180.245468	-80.654587	162.302750
8010.850882	180.713028	-81.297485	163.471649
8010.854208	180.362350	-81.414375	164.699005
8010.857547	181.648163	-81.765053	165.575684
8010.860880	181.998840	-82.057281	166.335480
8010.864209	182.583282	-82.524841	166.686157
8010.867593	183.109299	-82.817062	168.264175
8010.870879	183.576859	-83.226189	168.965515
8010.874210	184.044418	-83.226189	170.192871
8010.878395	185.037994	-84.687317	172.939804
8010.881757	185.739334	-84.921097	174.342484
8010.885069	186.440689	-85.388657	174.926941
8010.888407	186.557571	-85.797783	177.206314
8010.891328	187.434250	-86.265343	177.615433
8010.894658	187.901810	-86.440674	180.303925
8010.898031	188.603149	-86.791351	180.771484
8010.901306	190.414963	-87.726471	183.050842
8010.904206	190.590302	-87.843361	185.447113
8010.907538	191.057861	-88.544708	186.849792
8010.910875	191.817657	-88.895378	188.544708
8010.914207	192.577438	-89.129166	190.122742
8010.917542	193.512573	-90.064285	192.343658
8010.920872	194.213913	-89.772064	194.097015
8010.924222	194.973694	-90.356514	195.616608
8010.927541	196.434830	-90.414963	198.246628
8010.930876	197.428406	-91.408531	200.000000
8010.934202	198.305084	-91.876099	201.402695
8010.937539	199.123322	-92.168327	203.915833
8010.940868	199.473984	-91.992989	205.727646
8010.944200	200.584457	-92.518997	209.175919
8010.947540	201.753357	-93.278786	210.929276
8010.950864	202.922272	-93.395676	213.267090
8010.954233	202.571609	-94.272354	216.773819
8010.957533	204.617187	-94.915253	218.936295
8010.960863	204.792526	-95.207481	221.274109
8010.964197	206.312103	-95.908829	224.839279
8010.967553	207.364105	-96.493279	227.001770
8010.970870	208.065460	-97.428406	229.982468
8010.974197	208.883698	-98.305084	233.080078
8010.978407	211.805969	-99.298653	238.924591
8010.981741	212.331970	-100.350677	242.139099
8010.985079	212.448853	-101.168907	245.645828
8010.988493	213.383987	-102.337814	249.035645
8010.991322	214.143784	-102.863823	252.250153
8010.994687	215.604904	-104.091179	255.464645
8010.997992	216.130920	-105.026306	260.081818
8011.001286	216.773819	-106.019867	264.056122
8011.004617	217.475159	-106.954994	268.731750
8011.007531	218.644073	-107.305672	271.186462
8011.010866	218.585632	-108.825241	275.336060
8011.014193	219.637634	-109.468147	278.433655
8011.017528	220.514328	-110.753944	283.226166
8011.020864	220.689651	-111.513733	287.434235
8011.024198	221.507889	-112.565758	292.518982
8011.027527	222.443008	-114.026878	296.610168
8011.030859	222.443008	-114.611343	301.052032
8011.034215	223.904160	-115.371132	305.786072
8011.037523	223.845703	-116.832260	310.578613
8011.040863	224.371719	-117.592049	315.312683
8011.044195	224.663956	-118.293396	319.696106
8011.047527	226.066635	-118.994736	324.663940
8011.050862	225.599075	-120.572769	329.456451
8011.054195	225.774414	-121.507896	335.768555
8011.057525	226.241974	-122.384575	339.918182
8011.060859	226.884872	-123.319695	345.178253
8011.064197	227.293991	-124.196373	350.905884
8011.067531	227.293991	-124.780830	356.341309
8011.070859	227.060196	-125.482178	361.718292
8011.074189	227.527756	-126.300407	367.796600
8011.077553	227.293991	-127.177086	374.342499
8011.081724	227.644653	-129.164230	386.440674
8011.085098	226.943298	-129.631790	391.466980
8011.088457	226.826401	-130.274689	399.006439
8011.091777	226.008179	-131.326706	404.500305
8011.094706	225.891281	-132.144943	410.520172
8011.097947	225.189941	-132.904739	417.299835
8011.101277	224.371719	-133.722977	424.605499
8011.104612	223.202805	-135.184097	429.865601
8011.107523	222.793701	-135.184097	436.469879
8011.110852	221.741669	-136.177673	443.892487
8011.114181	220.222092	-137.755707	450.730560
8011.117526	218.527176	-138.866165	457.042633
8011.120855	217.358276	-139.450607	463.939240
8011.124188	215.312668	-140.736420	471.069519
8011.127531	214.085342	-140.970200	479.310333
8011.130851	211.981293	-142.606659	486.265320
8011.134183	209.701920	-143.483337	493.103455
8011.137516	207.422562	-144.243134	500.058472
8011.140854	204.675629	-145.704269	506.721222
8011.144179	201.461121	-146.756287	514.260681
8011.147520	199.415543	-147.749847	521.566345
8011.150884	196.727066	-148.158966	527.995361
8011.154181	193.161896	-149.035660	534.599609
8011.157521	189.713623	-149.444763	542.957336
8011.160851	186.440689	-150.672119	549.094116
8011.164212	182.875519	-151.198120	555.932190
8011.167512	179.894791	-152.191696	563.471680
8011.170869	175.102280	-152.776154	569.783752
8011.174179	171.069550	-153.360611	575.978943
8011.177514	166.803040	-153.185272	584.161316
8011.182193	158.620697	-154.003494	596.084167
8011.185065	154.003494	-154.120392	602.980713
8011.188461	149.035660	-154.120392	609.526611
8011.191764	144.126236	-154.529510	615.137329
8011.194655	139.509064	-154.178848	621.741699
8011.197928	134.658096	-153.711288	628.755066
8011.201264	128.638214	-153.828171	635.242554
8011.204605	122.676804	-154.061951	639.625916
8011.207946	117.124489	-153.243713	645.879578
8011.210840	111.630630	-152.659256	651.315002
8011.214186	105.435417	-152.834595	658.036255
8011.217503	99.415550	-151.957916	663.588501
8011.220845	92.811218	-151.198120	668.030396
8011.224179	86.499123	-150.672119	673.465820
8011.227506	80.771477	-150.263000	677.790771
8011.230835	73.991814	-149.444763	682.174133
8011.234174	66.861488	-148.977203	686.791382
8011.237509	59.322037	-147.749847	690.648743
8011.240844	52.308590	-147.048508	695.558167
8011.244192	45.236702	-146.814728	698.305054
8011.247513	37.931034	-145.879608	701.753357
8011.250876	30.099356	-145.119812	705.026306
8011.254177	22.209234	-144.827576	706.545898
8011.257526	14.962010	-143.249557	709.526611
8011.260842	6.954997	-142.372879	712.273499
8011.264170	-1.168907	-141.379303	713.150208
8011.267504	-9.234365	-140.444183	715.487976
8011.270836	-17.708942	-139.976624	715.955566
8011.274174	-25.715956	-138.632385	717.299866
8011.277507	-33.839859	-137.755707	718.527161
8011.280835	-41.613094	-137.112793	718.410278
8011.285030	-58.036240	-134.716537	718.234985
