time (s)	det(V)
7350.475088	0.139148	
7350.476718	0.137050	
7350.478200	0.136695	
7350.479817	0.136264	
7350.481321	0.135386	
7350.482999	0.134544	
7350.484525	0.133589	
7350.486181	0.134544	
7350.487703	0.134053	
7350.489313	0.132534	
7350.490881	0.132905	
7350.492466	0.133404	
7350.494063	0.131164	
7350.495719	0.129803	
7350.497323	0.130802	
7350.498937	0.129086	
7350.500571	0.127893	
7350.502169	0.127321	
7350.503840	0.128522	
7350.505431	0.125722	
7350.507095	0.125903	
7350.508686	0.125625	
7350.510388	0.123648	
7350.511947	0.123466	
7350.513650	0.122230	
7350.515210	0.122109	
7350.516940	0.119369	
7350.518502	0.118511	
7350.520188	0.118221	
7350.521729	0.117698	
7350.523458	0.115643	
7350.524948	0.115265	
7350.526723	0.113178	
7350.528204	0.110890	
7350.529991	0.110584	
7350.531473	0.108654	
7350.533240	0.107156	
7350.534719	0.105367	
7350.536502	0.104054	
7350.537991	0.102716	
7350.539766	0.101762	
7350.541264	0.099792	
7350.543011	0.097883	
7350.544526	0.095876	
7350.546236	0.093616	
7350.547761	0.092811	
7350.549472	0.090027	
7350.551019	0.088190	
7350.552738	0.087723	
7350.554289	0.086297	
7350.555983	0.083944	
7350.557544	0.081991	
7350.559220	0.081342	
7350.560799	0.078550	
7350.562461	0.076347	
7350.564047	0.075356	
7350.565679	0.073519	
7350.567308	0.072391	
